AgeBP,Median_temperature_anomaly_C,HDIlow,HDIhigh
150,0.031456189348697,-1.39681188892665,1.44469721979565
300,0.041405813346866,-1.40130949861414,1.48658021363294
450,0.124249342951114,-1.44299683410609,1.66518475754174
600,0.107585679159461,-1.50052636570481,1.85789670703986
750,0.081987496546508,-1.51589121604702,1.58877744770709
900,0.11643021810406,-1.3100171837778,1.53245455957317
1050,0.394631198300747,-1.04076835345718,1.83577927053893
1200,0.513424753553471,-0.995942383626219,2.03980178033529
1350,0.492254919248825,-0.77288875161823,1.83137918669265
1500,0.601776304905757,-0.96693048518049,2.13536030136281
1650,0.662967232694994,-1.06485322758333,2.27828431185186
1800,0.522125410999498,-1.47989495904338,2.45798496689328
1950,0.144791942743724,-1.41376075401835,1.71715111163587
2100,0.294559514192841,-0.682435053347363,1.31159411726779
2250,0.666410657891954,-0.699436752952684,2.07660607865169
2400,0.807771769462104,-0.348841966433728,1.93442980431765
2550,0.673851512719939,-0.412337207643956,1.73382111680589
2700,0.988119936560211,-0.276433411289812,2.20427537210359
2850,0.92732008387333,-1.03893151004568,2.99593053825401
3000,0.937307378614417,-0.966094742370515,2.85825974568177
3150,0.763198283689716,-0.899072804988319,2.5798421689187
3300,1.00032110128524,-0.065804828133512,1.99734498844974
3450,0.927091517389003,-0.301499507181835,2.18326102087138
3600,0.932685820008958,-0.180486113531862,2.08608192856636
3750,0.907409204303957,-0.036158695919276,1.85183816058282
3900,0.341334008342767,-0.817845591668387,1.55677963997824
4050,0.709577337099052,-0.713276465607305,2.01871417640782
4200,0.925288254396678,-0.171294448140032,2.05064841472201
4350,1.03490011985917,0.467743357404978,1.61537580610389
4500,0.558641565753507,-0.010190892116524,1.12845006493636
4650,0.620033698146425,-0.224359590470197,1.4595071756381
4800,0.671460002036078,-0.240100184710411,1.57662002973444
4950,0.515356870314009,-0.351840889361161,1.3877878055567
5100,0.849636130755591,-0.283631694941246,1.95017065645378
5250,0.933772156026229,-0.180267619137205,2.01961459290228
5400,0.439528033354376,-0.578626339647415,1.49316077110957
5550,0.496853734290557,-0.603864168369428,1.52469362441225
5700,0.415912584129974,-0.76657419906205,1.5703991562636
5850,0.775862771306733,-0.394291935356716,1.90625329284271
6000,0.954399120439298,-0.216321758455286,2.09709720539012
6150,0.988619761363308,-0.848684397126098,2.72012657148119
6300,0.807094432502145,-1.02963828118357,2.6510101549662
6450,0.938565910284735,-0.731454310108723,2.6511539416825
6600,1.07970159945883,-0.746707665894201,2.91710418914964
6750,0.690310886827164,-0.877589110490258,2.31161400767528
6900,0.681723016139586,-0.7583753606685,2.14922287289818
7050,0.788035251517758,-0.873865891445998,2.3772777195478
7200,0.443485906981034,-1.5159969070405,2.48263415579531
7350,0.207328597148537,-1.83430592862698,2.30170542950382
7500,0.167684806749858,-2.20930690897705,2.63607046090442
7650,-0.116703245287696,-2.00246246757663,1.66960940938587
7800,-0.366452554747195,-2.9067769409944,2.27971829365674
7950,1.33886946454314,-1.10805742705152,3.84991807843147
8100,1.40808080149368,-0.139549369411278,2.84017353118574
8250,-0.124633087597093,-0.785216546941983,0.526550331073063
8400,-0.365193151904301,-1.40681713431757,0.80896238518235
8550,0.397984140798793,-1.20666228108636,1.98430765658926
8700,1.30884581687085,0.163862353144477,2.47212746662022
8850,1.15224551357216,-0.24211694855966,2.48824425298027
9000,2.71609630181243,-2.10916680482108,7.43374124144027
9150,2.13982760363912,0.069383907583918,4.17114127884238
9300,0.705023769134253,-0.582485219097245,2.00183644259814
9450,1.32740513445613,-2.73798192063126,5.39486147086703
9600,3.44686195303251,-5.16302618729037,10.7900466279767
9750,1.64581669611792,-2.75812968727043,4.23792349408763
9900,0.816977524934951,-0.566993220149775,2.11341425943094
